area_type,availability,location,society,total_sqft,bath,balcony,price,size_n
Plot  Area,Ready To Move,Brookefield,independent,2800,4,2,240,4
Super built-up  Area,Ready To Move,7th Phase JP Nagar,hiestre,1180,2,2,72,2
Super built-up  Area,Ready To Move,Whitefield,prtates,1697,3,2,108,3
Super built-up  Area,Ready To Move,Yelahanka New Town,independent,550,2,1,26,2
Super built-up  Area,Ready To Move,Hennur,shateor,1225,2,1,57,2
Super built-up  Area,Ready To Move,Byrasandra,viisepa,1690,2,2,55,3
Super built-up  Area,Ready To Move,Veerannapalya,independent,1488,3,2,57,3
Built-up  Area,Ready To Move,Chowdeshwari Layout,keharya,1250,2,1,80,3
Super built-up  Area,Ready To Move,JP Nagar,duoveoo,1050,1,1,44,1
Super built-up  Area,Ready To Move,HSR Layout,independent,1027,2,2,44,2
Super built-up  Area,Not ready,Kanakpura Road,golusli,1699,3,3,81.94,3
Built-up  Area,Ready To Move,Whitefield,viaree ,1205,2,2,58,2
Plot  Area,Ready To Move,Mathikere Extension,independent,712,2,1,67.5,4
Super built-up  Area,Not ready,Horamavu Agara,independent,950,2,3,39,2
Plot  Area,Ready To Move,TC Palaya,independent,1200,2,0,70,2
Super built-up  Area,Ready To Move,Akshaya Nagar,hiows c,1476,3,1,120,3
Built-up  Area,Ready To Move,CV Raman Nagar,independent,1070,2,1,55,2
Super built-up  Area,Ready To Move,EPIP Zone,brontla,2160,4,2,172,3
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,putus l,1296,2,1,75,2
Built-up  Area,Ready To Move,Chikkalasandra,independent,1800,1,1,128,2
Super built-up  Area,Ready To Move,Kanakpura Road,jrrnauv,1570,3,3,64.5,3
Super built-up  Area,Ready To Move,Koramangala,saace p,1300,2,3,110,2
Built-up  Area,Ready To Move,Sarjapur,independent,1550,2,2,65,4
Super built-up  Area,Ready To Move,Electronic City,gmown e,770,1,1,40,2
Built-up  Area,Ready To Move,Jalahalli,kuownri,1870,3,2,110,3
Plot  Area,Ready To Move,Anantapura,edleyil,1650,4,2,160,3
Super built-up  Area,Ready To Move,Domlur,valipf ,1429,3,3,86,3
Super built-up  Area,Not ready,Babusapalaya,independent,1167,2,2,39.98,3
Super built-up  Area,Not ready,Bommasandra,ssestth,1035,2,1,41.73,2
Super built-up  Area,Ready To Move,Kengeri,independent,1188,2,2,38,3
Plot  Area,Ready To Move,2nd Stage Nagarbhavi,independent,1200,4,2,285,5
Super built-up  Area,Ready To Move,Nagarbhavi,maentna,884,2,2,36,1
Super built-up  Area,Ready To Move,Haralur Road,independent,1194,2,2,46,2
Super built-up  Area,Not ready,Hoodi,caycend,1026,2,1,60.87,2
Plot  Area,Ready To Move,Shivaji Nagar,independent,1400,6,3,200,7
Super built-up  Area,Ready To Move,Kaikondrahalli,independent,1115,2,2,50,2
Plot  Area,Ready To Move,Hebbal Kempapura,independent,1200,2,1,125,2
Super built-up  Area,Not ready,Old Airport Road,jaades ,2690,4,3,191,4
Super built-up  Area,Ready To Move,Subramanyapura,mayne a,975,2,1,58,2
Plot  Area,Ready To Move,Hosa Road,independent,675,3,2,72.5,3
Super built-up  Area,Ready To Move,Chamrajpet,independent,1900,2,1,170,4
Plot  Area,Not ready,Banashankari,independent,600,3,1,100,3
Super built-up  Area,Ready To Move,OMBR Layout,independent,1101,2,2,65.5,2
Super built-up  Area,Ready To Move,Sarjapur  Road,maana e,1700,3,3,135,3
Super built-up  Area,Ready To Move,Whitefield,proaksi,3606,4,2,312,4
Super built-up  Area,Ready To Move,Padmanabhanagar,acersd ,1258,2,2,115,2
Carpet  Area,Ready To Move,Kanakpura Road,advash ,1560,3,2,92,3
Super built-up  Area,Ready To Move,Old Madras Road,brica e,3630,6,1,195,4
Built-up  Area,Ready To Move,JP Nagar,adace p,2000,3,2,250,3
Super built-up  Area,Not ready,Hebbal,raard b,2790,4,3,198,4
Super built-up  Area,Not ready,Badavala Nagar,dnncasa,1494,2,2,94.55,3
Super built-up  Area,Not ready,Hennur Road,puachal,1482,2,1,87,3
Super built-up  Area,Ready To Move,Rustam Bagh Layout,inuseda,800,2,3,50,2
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,independent,1185,2,2,47.39,2
Super built-up  Area,Ready To Move,Hulimavu,ratosar,1100,2,2,71.5,2
Built-up  Area,Ready To Move,NRI Layout,independent,1300,2,0,120,2
Super built-up  Area,Ready To Move,4th Block Koramangala,evestpi,1225,2,2,150,2
Super built-up  Area,Ready To Move,Hulimavu,independent,1758,3,2,65,3
Super built-up  Area,Ready To Move,Banaswadi,independent,1145,2,2,55,2
Built-up  Area,Ready To Move,Hormavu,bhncyre,1180,2,2,50,2
Super built-up  Area,Ready To Move,Belatur,kehts h,1260,2,2,58,2
Super built-up  Area,Not ready,Yelahanka,vaaram ,3450,2,2,173,4
Built-up  Area,Ready To Move,Arekere,dancyre,1190,2,2,55,2
Super built-up  Area,Ready To Move,Sarjapur  Road,klark l,1691,3,2,119,3
Super built-up  Area,Not ready,Lalbagh Road,independent,3675,4,3,367,4
Built-up  Area,Ready To Move,Frazer Town,frhts h,1305,3,2,95.45,3
Super built-up  Area,Not ready,Basavangudi,independent,2337,4,3,292,3
Plot  Area,Ready To Move,Kamakya Layout,independent,1200,2,2,150,2
Super built-up  Area,Not ready,Domlur,independent,1206,2,1,217,2
Plot  Area,Ready To Move,Vignana Nagar,independent,1350,4,1,130,5
Super built-up  Area,Ready To Move,Kogilu,independent,1140,2,1,50.66,2
Super built-up  Area,Ready To Move,Nallurhalli,mauil t,1250,2,2,65,2
Plot  Area,Ready To Move,Kamakshipalya,independent,600,2,1,60,3
Super built-up  Area,Not ready,Chinnapanahalli,independent,1225,2,2,48,2
Built-up  Area,Ready To Move,Kereguddadahalli,n iewak,800,2,2,28,2
Super built-up  Area,Ready To Move,Jalahalli East,shshasa,1020,2,1,58,2
Built-up  Area,Ready To Move,TC Palaya,independent,2100,2,1,50,4
Plot  Area,Ready To Move,Lingarajapuram,independent,1350,2,1,80,2
Super built-up  Area,Ready To Move,Anekal,independent,925,2,1,40,2
Built-up  Area,Ready To Move,Yelachenahalli,independent,1800,3,1,220,4
Built-up  Area,Ready To Move,3rd Block HBR Layout,independent,2000,3,1,100,3
Built-up  Area,Ready To Move,Frazer Town,loente ,1510,2,1,75,3
Super built-up  Area,Ready To Move,Laxmi Sagar Layout,dubowra,1614,3,1,110,3
Plot  Area,Ready To Move,Yeshwanthpur,independent,682,2,1,130,3
Plot  Area,Ready To Move,Gottigere,independent,1200,2,0,95,2
Plot  Area,Ready To Move,TC Palaya,independent,900,2,0,55,2
Built-up  Area,Ready To Move,Bommenahalli,prana s,1632,3,0,145,4
Super built-up  Area,Ready To Move,OMBR Layout,independent,1041,2,2,65.5,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,briummi,5080,7,2,450,6
Super built-up  Area,Not ready,Bannerghatta,mamespa,3012,6,2,250,4
Super built-up  Area,Ready To Move,Marathahalli,independent,1530,3,2,74.5,3
Super built-up  Area,Ready To Move,Sector 2 HSR Layout,ncdgerj,1450,2,2,135,3
Super built-up  Area,Ready To Move,Bannerghatta Road,hiate f,1200,2,2,75,2
Plot  Area,Ready To Move,Sahakara Nagar,independent,1200,4,2,130,4
Super built-up  Area,Ready To Move,Hosur Road,puendwe,1508,2,1,110,3
Built-up  Area,Ready To Move,New Gurappana Palya,independent,600,7,3,106,7
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,alecone,1188,2,3,73,2
Super built-up  Area,Not ready,Old Airport Road,jaades ,2690,4,3,199,4
Super built-up  Area,Ready To Move,Harlur,prncyrn,1174,2,1,76,2
Super built-up  Area,Not ready,Old Madras Road,sheldgr,1350,3,1,58.99,3
Super built-up  Area,Ready To Move,Frazer Town,bamita ,1870,3,3,185,3
Super built-up  Area,Not ready,Kengeri Satellite Town,dsestst,1072,2,1,25,2
Super built-up  Area,Not ready,Kengeri,vbn 2lm,726,2,1,31,2
Super built-up  Area,Ready To Move,Hosur Road,saageat,1345,2,2,106,2
Super built-up  Area,Ready To Move,Begur Road,dhalsh ,1200,2,2,45,2
Built-up  Area,Ready To Move,Nagavarapalya,independent,980,2,0,37,2
Super built-up  Area,Ready To Move,Hormavu,syidacr,1050,2,1,77,2
Super built-up  Area,Ready To Move,Uttarahalli,independent,993,2,1,39.71,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,independent,1300,2,2,52,3
Super built-up  Area,Ready To Move,Vittasandra,prlla c,1743,3,2,85,3
Plot  Area,Ready To Move,Whitefield,independent,1204,4,1,125,4
Plot  Area,Ready To Move,Hormavu,independent,1200,2,0,67,2
Super built-up  Area,Ready To Move,2nd Block Hrbr Layout,independent,1480,3,2,90,3
Super built-up  Area,Ready To Move,Sarjapur,sondaka,950,2,2,32.5,2
Built-up  Area,Ready To Move,Domlur,saiewas,640,1,0,55,1
Super built-up  Area,Not ready,Electronic City Phase II,mjtroty,972,2,1,44,2
Super built-up  Area,Ready To Move,Marathahalli,padgeoa,1840,3,3,98,3
Super built-up  Area,Ready To Move,Electronic City,prarkun,1128,2,1,64,2
Plot  Area,Ready To Move,Hongasandra,independent,680,2,0,42,2
Plot  Area,Ready To Move,Harappanahalli,clood e,2400,2,1,95,2
Built-up  Area,Ready To Move,Basapura,independent,1045,2,2,42,2
Built-up  Area,Ready To Move,Roopena Agrahara,independent,955,2,3,53.55,2
Super built-up  Area,Ready To Move,Doddakallasandra,independent,1360,2,2,54.39,3
Super built-up  Area,Ready To Move,BTM Layout,mames m,1150,2,2,63,2
Built-up  Area,Not ready,Hennur Road,gollela,3450,4,3,294,4
Super built-up  Area,Not ready,Chennammana Kere,independent,1115,2,2,56.87,2
Super built-up  Area,Ready To Move,Jigani,dlhtsen,920,2,2,46,2
Super built-up  Area,Not ready,Bommasandra Industrial Area,independent,1030,2,1,41,2
Super built-up  Area,Ready To Move,Thanisandra,soitya ,1564,3,1,101,3
Super built-up  Area,Ready To Move,Uttarahalli,sirlspe,1045,2,1,45,2
Plot  Area,Ready To Move,Hegde Nagar,independent,1200,4,1,83,4
Built-up  Area,Ready To Move,Subramanyapura,independent,1277,2,2,55,2
Super built-up  Area,Ready To Move,Sarjapur  Road,adeatlm,1846,3,2,140,3
Built-up  Area,Ready To Move,Tasker Town,independent,1100,2,0,106,2
Super built-up  Area,Ready To Move,Govindpura,muncy r,1690,3,2,75,3
Plot  Area,Not ready,Hormavu,independent,1200,3,0,70,2
Built-up  Area,Ready To Move,Yelahanka,inllapa,3042,4,0,131,4
Super built-up  Area,Ready To Move,Rajaji Nagar,brway g,1640,3,3,223,3
Built-up  Area,Not ready,NR Colony,gkncysi,1068,2,1,40.05,2
Super built-up  Area,Ready To Move,Kanakpura Road,sgiewrk,1135,2,2,58,2
Super built-up  Area,Ready To Move,Agara Village,independent,1925,3,2,120,3
Super built-up  Area,Ready To Move,Begur Road,independent,1615,3,2,60,3
Super built-up  Area,Ready To Move,Shettigere,independent,650,1,1,26,1
Plot  Area,Ready To Move,Chikkasandra,independent,1200,9,3,120,9
Super built-up  Area,Ready To Move,Kaggadasapura,anaveen,1150,2,3,42,2
Plot  Area,Ready To Move,Kothannur,independent,930,6,1,135,6
Super built-up  Area,Not ready,Kenchanehalli R R Nagar,independent,1410,2,2,45.12,3
Built-up  Area,Ready To Move,6th Phase JP Nagar,independent,600,2,0,100,3
Super built-up  Area,Not ready,Kumara Park,independent,2000,3,3,207,3
Super built-up  Area,Ready To Move,Tumkur Road,sahtsva,1354,3,1,90,3
Plot  Area,Ready To Move,BEL Road,independent,1050,2,0,110,2
Built-up  Area,Ready To Move,Arekere,independent,600,1,1,28,1
Plot  Area,Ready To Move,Varthur,slncyaj,1320,2,1,110,4
Super built-up  Area,Not ready,Koramangala,independent,1600,3,2,88,3
Built-up  Area,Ready To Move,Kanakpura Road,coleyna,3500,6,2,225,4
Super built-up  Area,Ready To Move,GM Palaya,samesan,1000,2,1,36,2
Super built-up  Area,Ready To Move,Byagadadhenahalli,vbavaai,1130,3,1,38,3
Super built-up  Area,Ready To Move,Vittasandra,independent,1238,2,1,67,2
Super built-up  Area,Ready To Move,Ashwathnagar,vaour s,2204,2,3,305,3
Super built-up  Area,Not ready,Kudlu Gate,independent,1364,2,3,46.38,3
Built-up  Area,Ready To Move,Srinivasa Nagar,independent,900,2,1,45,2
Super built-up  Area,Ready To Move,Gubbalala,mauiltr,1745,3,2,104,3
Super built-up  Area,Ready To Move,Kogilu,independent,1200,2,1,53.33,2
Super built-up  Area,Ready To Move,Kanakapura,independent,1020,2,1,42.83,2
Super built-up  Area,Not ready,Banashankari Stage III,independent,1650,3,2,118,3
Super built-up  Area,Ready To Move,Doddabommasandra,maaveen,1550,2,3,70,3
Super built-up  Area,Ready To Move,5th Phase JP Nagar,independent,1440,2,2,60,2
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,soe 2as,1329,2,2,45.95,3
Super built-up  Area,Ready To Move,Maruthi Layout,prareth,916,2,1,42,2
Super built-up  Area,Ready To Move,Hulimavu,niarkhy,688,1,2,50,1
Super built-up  Area,Ready To Move,Sree Narayana Nagar,sholaya,1358,3,3,50,3
Super built-up  Area,Not ready,Kanakpura Road,soazak ,1331,2,1,107,2
Super built-up  Area,Ready To Move,Malleshwaram,kaamai ,686,1,1,62.5,1
Super built-up  Area,Ready To Move,Hoodi,sulla s,1050,2,2,50,2
Super built-up  Area,Ready To Move,Talaghattapura,sodgere,2106,3,2,126,3
Super built-up  Area,Not ready,Bhoganhalli,rosha i,1718,3,2,90.2,3
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,grrvagr,1530,3,2,57,3
Super built-up  Area,Ready To Move,5th Block Hbr Layout,independent,1206,2,2,56,2
Built-up  Area,Ready To Move,Hebbal,arade a,1075,2,3,52,2
Plot  Area,Not ready,Sarjapur  Road,independent,1200,3,1,95,3
Super built-up  Area,Not ready,Tunganagara,dsdidsp,1936,2,2,54.21,3
Super built-up  Area,Ready To Move,Sahakara Nagar,independent,1100,2,2,75,3
Plot  Area,Ready To Move,BTM 2nd Stage,independent,1260,5,1,185,3
Plot  Area,Ready To Move,Jalahalli East,independent,800,2,1,80,3
Super built-up  Area,Ready To Move,Sarjapur  Road,soikaa ,1117,2,3,29.99,2
Built-up  Area,Ready To Move,Remco Bhel Layout,suncy r,1685,2,1,110,3
Super built-up  Area,Ready To Move,CV Raman Nagar,anncyre,740,2,1,37,2
Plot  Area,Ready To Move,Chamrajpet,independent,1080,4,2,250,4
Plot  Area,Ready To Move,Magadi Road,independent,1500,2,2,93,4
Super built-up  Area,Ready To Move,Banashankari,bregae ,1800,3,2,115,3
Super built-up  Area,Ready To Move,Yelachenahalli,puontbe,1700,3,2,130,3
Built-up  Area,Ready To Move,Uttarahalli,kinumsh,850,2,2,37.93,2
Super built-up  Area,Ready To Move,Hennur Road,sairesa,1891,3,1,139,3
Built-up  Area,Ready To Move,Jalahalli,prensin,1400,1,1,80,2
Super built-up  Area,Ready To Move,Lakshminarayana Pura,independent,1172,2,2,82,2
Super built-up  Area,Not ready,Electronic City Phase II,independent,1400,2,2,40.43,3
Built-up  Area,Ready To Move,Sonnenahalli,dsgam s,896,2,1,43.75,2
Super built-up  Area,Not ready,Vijayanagar,saityat,1180,2,2,65,2
Plot  Area,Ready To Move,Basaveshwara Nagar,independent,2460,7,1,350,7
Built-up  Area,Ready To Move,Chokkasandra,siise r,850,2,1,33,2
Super built-up  Area,Not ready,Anekal,independent,530,1,1,18,1
Super built-up  Area,Not ready,2nd Block Hrbr Layout,independent,1550,3,3,110,3
Super built-up  Area,Not ready,Kanakapura,goityet,1699,3,3,97,3
Super built-up  Area,Not ready,Bellandur,nicodca,2025,4,3,109,4
Super built-up  Area,Not ready,Ananth Nagar,independent,500,2,2,14,1
Built-up  Area,Ready To Move,Panduranga Nagar,jeshan ,500,1,0,20,1
Built-up  Area,Ready To Move,Sri Venkateshpura Layout,independent,1146,2,1,38.5,2
Super built-up  Area,Ready To Move,Malleshwaram,sariaat,2475,4,3,332,3
Super built-up  Area,Ready To Move,Haralur Road,rencyed,1455,2,1,145,2
Plot  Area,Ready To Move,Seegehalli,independent,800,1,0,50,2
Super built-up  Area,Ready To Move,Abbigere,independent,765,2,2,30,1
Super built-up  Area,Ready To Move,Lingadheeranahalli,soiewre,1521,3,1,94.99,3
Super built-up  Area,Ready To Move,Gottigere,independent,1600,2,2,55,3
Super built-up  Area,Ready To Move,Byadarahalli,prurten,3155,4,2,370,3
Super built-up  Area,Ready To Move,Hebbal Kempapura,gonumpl,2900,4,2,240,3
Super built-up  Area,Ready To Move,Jakkur Plantation,reicace,1765,3,3,105,3
Super built-up  Area,Ready To Move,Kasavanhalli,incksaf,1980,3,2,88,3
Built-up  Area,Ready To Move,Amruthahalli,independent,1900,3,1,135,3
Super built-up  Area,Ready To Move,Kaverappa Layout,dural c,1265,2,3,70,2
Super built-up  Area,Ready To Move,Bommasandra,niara s,1034,2,3,40,2
Built-up  Area,Ready To Move,Kaverappa Layout,independent,1012,2,1,59,2
Super built-up  Area,Ready To Move,Electronic City,gmown e,1070,2,1,54,2
Built-up  Area,Ready To Move,Mahadevpura,independent,3555,4,1,230,4
Super built-up  Area,Ready To Move,5th Block Hbr Layout,independent,1270,2,2,70,3
Plot  Area,Ready To Move,Yeshwanthpur,independent,585,1,0,70,2
Super built-up  Area,Ready To Move,Doddanekundi,akletba,2045,4,3,154,3
Super built-up  Area,Ready To Move,Bellandur,akonyha,1490,2,2,98,3
Super built-up  Area,Ready To Move,Mysore Road,independent,883,2,1,40,2
Super built-up  Area,Ready To Move,Yeshwanthpur,ibityin,671,1,1,36.85,1
Super built-up  Area,Ready To Move,Kammasandra,elentrk,1156,2,2,32,2
Super built-up  Area,Ready To Move,Haralur Road,ndionas,2017,3,2,125,3
Super built-up  Area,Ready To Move,Thigalarapalya,prtanha,3122,6,2,235,4
Super built-up  Area,Not ready,Ramagondanahalli,viistla,1635,3,1,62,3
Built-up  Area,Ready To Move,Sir M V Nagar,independent,4400,9,2,120,7
Super built-up  Area,Not ready,Kanakpura Road,soazak ,1296,2,1,89,2
Plot  Area,Ready To Move,Bikasipura,independent,2400,4,2,280,6
Super built-up  Area,Ready To Move,Budigere,pritytr,1139,2,2,62,2
Super built-up  Area,Not ready,CV Raman Nagar,independent,1230,3,2,47,2
Super built-up  Area,Not ready,Binny Pete,shestlo,1245,2,1,86.28,2
Plot  Area,Ready To Move,Sidedahalli,independent,1158,2,2,85,3
Built-up  Area,Ready To Move,Marathahalli,puerari,3951,4,2,220,4
Super built-up  Area,Ready To Move,Electronic City,itelaa ,550,1,1,15,2
Super built-up  Area,Ready To Move,Ramamurthy Nagar,itrrvna,360,1,1,26,1
Super built-up  Area,Ready To Move,Electronics City Phase 1,independent,1350,3,1,55,3
Built-up  Area,Ready To Move,Green Glen Layout,soweray,1670,3,2,120,3
Super built-up  Area,Ready To Move,Akshaya Nagar,independent,1600,2,2,65,3
Super built-up  Area,Ready To Move,Horamavu Banaswadi,independent,1307,2,2,51.6,2
Built-up  Area,Ready To Move,7th Phase JP Nagar,lencyre,1050,2,1,57,3
Super built-up  Area,Ready To Move,Hennur Road,chionco,1703,3,2,101,3
Super built-up  Area,Ready To Move,Kaggalipura,baowsig,1210,2,1,58,3
Built-up  Area,Not ready,Electronic City,independent,1025,2,1,29.6,2
Super built-up  Area,Ready To Move,Haralur Road,rinceeg,1140,2,2,43,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,vasta c,1343,2,2,56.41,3
Super built-up  Area,Ready To Move,R.T. Nagar,independent,1560,3,2,85,3
Super built-up  Area,Not ready,Kalkere,sothin ,925,2,2,51,2
Super built-up  Area,Ready To Move,Kanakpura Road,soapesu,1420,2,2,75,3
Built-up  Area,Ready To Move,1st Block Koramangala,dhnts a,1415,2,3,110,2
Super built-up  Area,Ready To Move,Shree Ananth Nagar Layout,aaityi ,1210,2,2,60,2
Super built-up  Area,Ready To Move,Yeshwanthpur,rnvasth,1852,3,2,160,3
Super built-up  Area,Ready To Move,Hoskote,deiveer,1250,3,2,50,3
Super built-up  Area,Not ready,9th Phase JP Nagar,vasisvi,1100,2,1,65,2
Super built-up  Area,Ready To Move,2nd Phase Judicial Layout,independent,1150,2,1,40.25,2
Super built-up  Area,Not ready,Jakkur,arndssk,1100,2,1,53.35,2
Plot  Area,Ready To Move,Magadi Road,bhgarve,1350,1,0,100,2
Super built-up  Area,Ready To Move,Panathur,svnamnd,1546,3,2,99,3
Super built-up  Area,Ready To Move,Ambedkar Nagar,soechha,1424,2,2,90,2
Built-up  Area,Ready To Move,Bellandur,itnaia ,1398,3,1,68,3
Super built-up  Area,Ready To Move,Indira Nagar,mctleas,1650,3,2,200,3
Plot  Area,Ready To Move,HBR Layout,independent,1200,4,0,120,4
Super built-up  Area,Ready To Move,Brookefield,mapleer,1476,3,2,105,3
Built-up  Area,Ready To Move,Attiguppe,independent,500,2,1,70,2
Super built-up  Area,Not ready,Magadi Road,vrenty ,1322,2,2,58.82,3
Plot  Area,Ready To Move,Srirampuram,independent,432,2,1,40,2
Built-up  Area,Ready To Move,Yemlur,independent,1100,2,2,55,2
Built-up  Area,Ready To Move,Sarjapur,ahownve,1285,2,2,68,3
Built-up  Area,Ready To Move,Ambalipura,sjodsed,1150,2,2,80,2
Super built-up  Area,Ready To Move,Thanisandra,menueno,1430,2,2,56,3
Super built-up  Area,Ready To Move,Marathahalli,independent,1350,2,2,62,3
Plot  Area,Ready To Move,Gkvk Layout,independent,1350,3,3,195,3
Built-up  Area,Ready To Move,Thubarahalli,kenia g,1185,2,2,65,2
Super built-up  Area,Ready To Move,Bannerghatta Road,leate o,1760,3,2,67,3
Plot  Area,Ready To Move,Bank Of Baroda Colony,independent,2400,5,2,350,4
Super built-up  Area,Not ready,Kanakpura Road,independent,900,2,1,41,2
Super built-up  Area,Not ready,Kanakpura Road,soazak ,1297,2,1,105,2
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,sodilda,1840,3,2,155,3
Built-up  Area,Ready To Move,Ramamurthy Nagar,independent,950,2,1,50.79,2
Plot  Area,Ready To Move,Chikkabanavar,independent,1200,4,1,70,5
Carpet  Area,Ready To Move,BTM 2nd Stage,jancyva,950,2,1,52,2
Super built-up  Area,Ready To Move,Yeshwanthpur,prthand,1250,2,0,95.815,2
Super built-up  Area,Not ready,Electronic City,prarkun,1571,3,2,89,3
Super built-up  Area,Ready To Move,Electronic City Phase II,brods w,1031,2,1,55,2
Super built-up  Area,Not ready,Whitefield,goted u,1485,2,1,90,2
Super built-up  Area,Not ready,Ananth Nagar,marnara,1109,2,1,60,2
Super built-up  Area,Ready To Move,Koramangala,independent,2200,3,2,180,3
Super built-up  Area,Not ready,Whitefield,prtates,950,1,1,50,1
Plot  Area,Ready To Move,Laggere,independent,1200,2,0,150,3
Super built-up  Area,Not ready,Hosa Road,mahesr ,1161,2,1,55.15,2
Super built-up  Area,Ready To Move,Basavangudi,independent,2350,3,3,300,3
Super built-up  Area,Not ready,Electronic City Phase II,mjtroty,1003,2,1,40.6,2
Plot  Area,Ready To Move,Bank Of Baroda Colony,independent,1350,2,1,185,2
Super built-up  Area,Not ready,9th Phase JP Nagar,independent,1080,2,2,37,2
Super built-up  Area,Ready To Move,Hulimavu,ratosar,1255,2,2,73,2
Super built-up  Area,Ready To Move,Banaswadi,independent,1250,2,0,60,2
Plot  Area,Ready To Move,Brookefield,independent,1700,4,1,152,4
Plot  Area,Ready To Move,Ramamurthy Nagar,independent,1200,2,0,66,3
Built-up  Area,Ready To Move,St. John's Road,independent,824,2,0,60,2
Super built-up  Area,Ready To Move,1st Phase JP Nagar,prhtsok,1875,3,1,167,3
Built-up  Area,Not ready,Bommasandra Industrial Area,independent,1320,2,1,38.12,3
Super built-up  Area,Ready To Move,Uttarahalli,aklia r,1330,2,1,47,3
Super built-up  Area,Ready To Move,Kaikondrahalli,independent,1220,3,2,56,3
Super built-up  Area,Not ready,Electronic City,independent,1111,3,1,50,3
Super built-up  Area,Ready To Move,Kothannur,independent,1197,2,1,47.88,2
Super built-up  Area,Ready To Move,Marathahalli,prionad,2519,5,2,185,4
Super built-up  Area,Not ready,Doopanahalli,independent,1340,2,1,100,3
Plot  Area,Ready To Move,Old Madras Road,feowsdi,1450,3,3,132,4
Super built-up  Area,Not ready,Hoodi,goairej,1837,3,3,145,3
Plot  Area,Ready To Move,Haralur Road,independent,1200,4,2,245,4
Super built-up  Area,Ready To Move,Kudlu Gate,aciteda,1238,2,3,55,2
Super built-up  Area,Ready To Move,7th Phase JP Nagar,vasta c,1405,2,2,59.01,3
Super built-up  Area,Ready To Move,Doddaballapur,independent,1690,3,2,80,4
Built-up  Area,Ready To Move,Sathanur,independent,1620,2,1,110,3
Super built-up  Area,Ready To Move,Kanakpura Road,puandhi,1673,3,2,115,3
Plot  Area,Ready To Move,Margondanahalli,independent,1090,2,0,58,2
Super built-up  Area,Ready To Move,Varthur,dsingst,1112,2,2,40,2
Super built-up  Area,Ready To Move,Marathahalli,independent,1385,2,2,66.65,3
Super built-up  Area,Ready To Move,Electronic City Phase II,assha a,545,1,1,27,2
Super built-up  Area,Ready To Move,Subramanyapura,mayne a,985,2,1,58,2
Super built-up  Area,Not ready,Kanakpura Road,golusli,670,1,0,36.29,1
Super built-up  Area,Ready To Move,Kanakpura Road,independent,1080,2,1,37.8,2
Super built-up  Area,Not ready,Hosa Road,sosisic,1430,2,1,97.52,2
Super built-up  Area,Ready To Move,Kengeri Satellite Town,malowr ,1050,2,2,43,2
Plot  Area,Ready To Move,Kumaraswami Layout,independent,2000,4,1,139,4
Built-up  Area,Ready To Move,Banashankari Stage VI,independent,4800,4,3,190,4
Built-up  Area,Ready To Move,ITI Layout,arnorya,1533,3,2,115,3
Plot  Area,Ready To Move,Ramamohanapuram,independent,2800,3,2,500,4
Super built-up  Area,Ready To Move,Malleshwaram,vaonyi ,2610,3,2,399,3
Super built-up  Area,Ready To Move,Lakshminarayana Pura,rothava,1750,3,2,150,3
Plot  Area,Ready To Move,TC Palaya,independent,1200,2,0,66,3
Super built-up  Area,Ready To Move,Prithvi Layout,prlmsge,1352,2,2,87.5,2
Super built-up  Area,Ready To Move,Harlur,sosiccl,1754,3,2,125,3
Built-up  Area,Ready To Move,Tejaswini Nagar,paion p,1560,3,2,85,3
Super built-up  Area,Not ready,Bannerghatta,mamespa,3012,6,2,268,4
Super built-up  Area,Ready To Move,Whitefield,independent,3584,4,2,199,4
Super built-up  Area,Ready To Move,Channasandra,pritehi,1470,2,1,90,3
Built-up  Area,Ready To Move,9th Phase JP Nagar,naensga,1035,2,1,45,2
Plot  Area,Ready To Move,Whitefield,proaksi,2400,5,2,329,4
Built-up  Area,Ready To Move,Kammanahalli,independent,1160,2,1,52,2
Super built-up  Area,Ready To Move,Jakkur,elidet ,1100,2,2,52,2
Super built-up  Area,Ready To Move,Horamavu Agara,independent,1170,2,2,38,2
Super built-up  Area,Not ready,Bannerghatta Road,hiatei ,595,1,1,31.83,1
Super built-up  Area,Ready To Move,HSR Layout,brstark,1650,3,2,110,3
Super built-up  Area,Ready To Move,1st Block Jayanagar,independent,1875,2,3,235,3
Super built-up  Area,Ready To Move,Kamakshipalya,independent,800,4,1,80,4
Super built-up  Area,Ready To Move,kanakapura road,independent,1375,2,3,48.06,3
Super built-up  Area,Not ready,Ramagondanahalli,viistla,1235,2,1,46.8,2
Super built-up  Area,Ready To Move,Kaveri Nagar,independent,750,1,2,25,1
Built-up  Area,Ready To Move,7th Phase JP Nagar,eladero,1400,3,1,115,3
Super built-up  Area,Ready To Move,Poorna Pragna Layout,independent,1270,2,2,50.79,3
Super built-up  Area,Not ready,Bannerghatta Road,independent,1105,2,1,51,2
